t = 500, dx = 0.003
X IMP_DIF CN_DIF IMP_FIC CN_FIC
0 84.9939 85.2108 85.0672 85.3434
0.00272727 84.8653 85.0843 84.9414 85.2138
0.00545455 84.4794 84.7048 84.5605 84.8339
0.00818182 83.8253 84.0549 83.9134 84.1864
0.0109091 82.885 83.1164 82.9819 83.2531
0.0136364 81.633 81.864 81.7406 82.0084
0.0163636 80.0369 80.2651 80.1571 80.4197
0.0190909 78.0577 78.2806 78.192 78.4477
0.0218182 75.6493 75.8645 75.7992 76.0462
0.0245455 72.7595 72.9643 72.9262 73.1625
0.0272727 69.3297 69.5215 69.5144 69.7379
