t = 500, dx = 0.001
X IMP_DIF CN_DIF IMP_FIC CN_FIC
0 85.0548 87.4856 85.0608 87.6767
0.001 85.0408 87.474 85.0468 87.6589
0.002 84.9987 87.4393 85.0048 87.6181
0.003 84.9285 87.3748 84.9347 87.5479
0.004 84.8298 87.2803 84.8362 87.4479
0.005 84.7024 87.1553 84.7089 87.3177
0.006 84.5459 86.9994 84.5526 87.1569
0.007 84.3597 86.8122 84.3667 86.9651
0.008 84.1434 86.593 84.1506 86.7415
0.009 83.8961 86.3412 83.9036 86.4856
0.01 83.6172 86.0559 83.625 86.1966
0.011 83.3058 85.7364 83.314 85.8735
0.012 82.9609 85.3816 82.9695 85.5154
0.013 82.5816 84.9905 82.5906 85.1213
0.014 82.1667 84.5619 82.1761 84.6901
0.015 81.715 84.0947 81.7249 84.2204
0.016 81.2252 83.5876 81.2356 83.7111
0.017 80.696 83.0391 80.7069 83.1606
0.018 80.1258 82.4477 80.1373 82.5676
0.019 79.5132 81.812 79.5253 81.9305
0.02 78.8566 81.1302 78.8692 81.2475
0.021 78.1542 80.4006 78.1674 80.517
0.022 77.4042 79.6214 77.4181 79.7372
0.023 76.6048 78.7907 76.6194 78.9061
0.024 75.7541 77.9066 75.7693 78.0218
0.025 74.8499 76.967 74.8659 77.0822
0.026 73.8903 75.9697 73.9069 76.0852
0.027 72.873 74.9127 72.8904 75.0286
0.028 71.7958 73.7935 71.8139 73.9101
0.029 70.6564 72.6098 70.6752 72.7273
0.03 69.4524 71.3593 69.472 71.4778
