Perfil de Temperatura via solucao analitica
t X0 X1 X2 X3 X4 X5 X6
- 0 0.005 0.01 0.015 0.02 0.025 0.03
0 58.6513 52.1699 48.518 41.5644 31.3396 17.3624 -14.8457
0.5 58.403 52.3665 48.4926 41.5919 31.364 17.1244 -15.2464
1 58.1807 52.5424 48.4781 41.6157 31.3848 16.8867 -15.6379
1.5 57.9816 52.7 48.4726 41.6365 31.4018 16.6498 -16.0208
2 57.803 52.8416 48.4749 41.655 31.4148 16.4139 -16.3957
2.5 57.6427 52.9691 48.4837 41.6718 31.4236 16.1793 -16.763
3 57.4989 53.0841 48.498 41.6872 31.4283 15.9461 -17.1233
3.5 57.3696 53.1882 48.5168 41.7016 31.4288 15.7146 -17.4768
4 57.2533 53.2826 48.5393 41.7152 31.4252 15.4847 -17.8239
4.5 57.1488 53.3685 48.565 41.7283 31.4175 15.2565 -18.1649
5 57.0548 53.4468 48.5933 41.7409 31.4059 15.0302 -18.5
5.5 56.9703 53.5185 48.6237 41.7533 31.3905 14.8056 -18.8294
6 56.8942 53.5842 48.6558 41.7653 31.3714 14.5828 -19.1534
6.5 56.8257 53.6448 48.6892 41.7772 31.3488 14.3619 -19.4721
7 56.7642 53.7007 48.7237 41.7888 31.3227 14.1427 -19.7858
7.5 56.7089 53.7524 48.7589 41.8003 31.2934 13.9253 -20.0946
8 56.6593 53.8006 48.7947 41.8116 31.2611 13.7097 -20.3986
8.5 56.6148 53.8455 48.8309 41.8227 31.2257 13.4957 -20.6979
9 56.5749 53.8875 48.8673 41.8336 31.1876 13.2835 -20.9929
9.5 56.5393 53.927 48.9038 41.8442 31.1468 13.0729 -21.2834
10 56.5075 53.9642 48.9403 41.8546 31.1034 12.8639 -21.5698
10.5 56.4792 53.9994 48.9767 41.8647 31.0576 12.6566 -21.852
11 56.4541 54.0327 49.0128 41.8744 31.0096 12.4508 -22.1303
11.5 56.432 54.0645 49.0487 41.8838 30.9594 12.2465 -22.4046
12 56.4125 54.0948 49.0843 41.8927 30.9072 12.0438 -22.6752
12.5 56.3955 54.1239 49.1195 41.9012 30.853 11.8425 -22.9421
13 56.3807 54.1518 49.1542 41.9092 30.797 11.6427 -23.2055
13.5 56.3681 54.1787 49.1885 41.9168 30.7393 11.4443 -23.4654
14 56.3573 54.2047 49.2223 41.9238 30.68 11.2474 -23.7219
14.5 56.3483 54.2298 49.2556 41.9302 30.6191 11.0518 -23.9751
15 56.3409 54.2543 49.2884 41.936 30.5567 10.8577 -24.225
15.5 56.3351 54.278 49.3206 41.9413 30.493 10.6648 -24.4719
16 56.3306 54.3012 49.3523 41.9459 30.428 10.4733 -24.7157
