Temperatura em x = L/2
t T
0 19.7692
10 21.387
20 22.7382
30 24.0611
40 25.3848
50 26.7151
60 28.0502
70 29.3871
80 30.7234
90 32.0572
100 33.3871
110 34.7123
120 36.032
130 37.3458
140 38.6534
150 39.9547
160 41.2494
170 42.5375
180 43.8189
190 45.0936
200 46.3615
210 47.6228
220 48.8773
230 50.125
240 51.3661
250 52.6005
260 53.8282
270 55.0493
280 56.2638
290 57.4717
300 58.673
310 59.8678
320 61.056
330 62.2379
340 63.4132
350 64.5822
360 65.7447
370 66.9009
380 68.0508
390 69.1944
400 70.3318
410 71.4629
420 72.5878
430 73.7066
440 74.8192
450 75.9258
460 77.0262
470 78.1207
480 79.2091
490 80.2916
500 81.3681
510 82.4387
520 83.5035
530 84.5624
540 85.6155
550 86.6628
560 87.7043
570 88.7402
580 89.7703
590 90.7948
600 91.8137
610 92.827
620 93.8347
630 94.8369
640 95.8336
650 96.8248
660 97.8105
670 98.7909
680 99.7658
690 100.735
700 101.7
710 102.659
720 103.612
730 104.561
740 105.504
750 106.442
760 107.375
770 108.303
780 109.226
790 110.143
800 111.056
810 111.963
820 112.866
830 113.764
840 114.656
850 115.544
860 116.427
870 117.305
880 118.178
890 119.047
900 119.911
910 120.77
920 121.624
930 122.473
940 123.318
950 124.158
960 124.994
970 125.825
980 126.651
990 127.473
1000 128.291
1010 129.104
1020 129.912
1030 130.716
1040 131.516
1050 132.311
1060 133.102
1070 133.888
1080 134.67
1090 135.448
1100 136.222
1110 136.991
1120 137.756
1130 138.517
1140 139.274
1150 140.026
1160 140.775
1170 141.519
1180 142.259
1190 142.995
1200 143.727
1210 144.456
1220 145.18
1230 145.9
1240 146.616
1250 147.328
1260 148.036
1270 148.741
1280 149.441
1290 150.138
1300 150.831
1310 151.52
1320 152.205
1330 152.887
1340 153.565
1350 154.239
1360 154.909
1370 155.576
1380 156.239
1390 156.898
1400 157.554
1410 158.206
1420 158.854
1430 159.499
1440 160.141
1450 160.779
1460 161.413
1470 162.044
1480 162.671
1490 163.295
1500 163.916
1510 164.533
1520 165.147
1530 165.757
1540 166.364
1550 166.968
1560 167.569
1570 168.166
1580 168.76
1590 169.35
1600 169.937
1610 170.521
1620 171.102
1630 171.68
1640 172.255
1650 172.826
1660 173.394
1670 173.959
1680 174.521
1690 175.08
1700 175.636
1710 176.189
1720 176.738
1730 177.285
1740 177.829
1750 178.37
1760 178.907
1770 179.442
1780 179.974
1790 180.503
1800 181.029
1810 181.552
1820 182.073
1830 182.59
1840 183.104
1850 183.616
1860 184.125
1870 184.631
1880 185.135
1890 185.635
1900 186.133
1910 186.628
1920 187.121
1930 187.61
1940 188.097
1950 188.582
1960 189.063
1970 189.542
1980 190.019
1990 190.492
2000 190.964
2010 191.432
2020 191.898
2030 192.362
2040 192.822
2050 193.281
2060 193.737
2070 194.19
2080 194.641
2090 195.089
2100 195.535
2110 195.979
2120 196.42
2130 196.858
2140 197.294
2150 197.728
2160 198.16
2170 198.589
2180 199.015
2190 199.44
2200 199.862
2210 200.281
2220 200.699
2230 201.114
2240 201.527
2250 201.937
2260 202.345
2270 202.751
2280 203.155
2290 203.557
2300 203.956
2310 204.353
2320 204.748
2330 205.141
2340 205.532
2350 205.92
2360 206.307
2370 206.691
2380 207.073
2390 207.453
2400 207.831
2410 208.207
2420 208.581
2430 208.953
2440 209.323
2450 209.69
2460 210.056
2470 210.42
2480 210.781
2490 211.141
2500 211.499
2510 211.854
2520 212.208
2530 212.56
2540 212.91
2550 213.258
2560 213.604
2570 213.948
2580 214.291
2590 214.631
2600 214.969
2610 215.306
2620 215.641
2630 215.974
2640 216.305
2650 216.634
2660 216.962
2670 217.288
2680 217.612
2690 217.934
2700 218.254
2710 218.573
2720 218.89
2730 219.205
2740 219.518
2750 219.83
2760 220.14
2770 220.448
2780 220.755
2790 221.06
2800 221.363
2810 221.664
2820 221.964
2830 222.263
2840 222.559
2850 222.854
2860 223.148
2870 223.439
2880 223.729
2890 224.018
2900 224.305
2910 224.59
2920 224.874
2930 225.156
2940 225.437
2950 225.716
2960 225.994
2970 226.27
2980 226.545
2990 226.818
3000 227.089
