tf = 750 s, nsteps = 65536, dt = 0.0114441, N = 33, dx = 0.0009375
X IMP_DIF CN_DIF IMP_FIC CN_FIC
0 112.067 112.492 112.079 112.528
0.0009375 112.047 112.472 112.059 112.508
0.001875 111.987 112.412 111.999 112.447
0.0028125 111.886 112.312 111.898 112.347
0.00375 111.745 112.171 111.757 112.205
0.0046875 111.563 111.989 111.575 112.023
0.005625 111.34 111.765 111.353 111.799
0.0065625 111.076 111.5 111.088 111.534
0.0075 110.77 111.194 110.783 111.226
0.0084375 110.421 110.844 110.435 110.877
0.009375 110.031 110.452 110.044 110.484
0.0103125 109.596 110.016 109.61 110.048
0.01125 109.118 109.536 109.132 109.568
0.0121875 108.596 109.012 108.61 109.043
0.013125 108.028 108.441 108.042 108.472
0.0140625 107.413 107.824 107.428 107.855
0.015 106.752 107.16 106.767 107.191
0.0159375 106.043 106.447 106.057 106.478
0.016875 105.284 105.685 105.299 105.716
0.0178125 104.476 104.873 104.491 104.904
0.01875 103.616 104.01 103.632 104.041
0.0196875 102.704 103.093 102.72 103.125
0.020625 101.739 102.123 101.755 102.155
0.0215625 100.718 101.098 100.735 101.13
0.0225 99.6421 100.017 99.6592 100.048
0.0234375 98.5082 98.8775 98.5257 98.9093
0.024375 97.3154 97.679 97.3333 97.7111
0.0253125 96.0622 96.4198 96.0804 96.4522
0.02625 94.7471 95.0985 94.7657 95.1311
0.0271875 93.3684 93.7133 93.3875 93.7463
0.028125 91.9247 92.2627 91.9441 92.296
0.0290625 90.4141 90.745 90.434 90.7787
0.03 88.8351 89.1585 88.8553 89.1926
