Perfil de Temperatura via solucao analitica
t =  0 100
Point Temperature
0 16.0017 32.3285 
0.0001 16.002 32.3286 
0.0002 16.003 32.3288 
0.0003 16.0045 32.3291 
0.0004 16.0067 32.3296 
0.0005 16.0094 32.3302 
0.0006 16.0128 32.3309 
0.0007 16.0168 32.3318 
0.0008 16.0214 32.3327 
0.0009 16.0267 32.3339 
0.001 16.0325 32.3351 
0.0011 16.0389 32.3365 
0.0012 16.046 32.338 
0.0013 16.0536 32.3396 
0.0014 16.0619 32.3414 
0.0015 16.0708 32.3433 
0.0016 16.0802 32.3454 
0.0017 16.0903 32.3475 
0.0018 16.1009 32.3498 
0.0019 16.1122 32.3522 
0.002 16.124 32.3548 
0.0021 16.1364 32.3575 
0.0022 16.1494 32.3603 
0.0023 16.1629 32.3632 
0.0024 16.1771 32.3662 
0.0025 16.1918 32.3694 
0.0026 16.2071 32.3727 
0.0027 16.2229 32.3762 
0.0028 16.2393 32.3797 
0.0029 16.2563 32.3834 
0.003 16.2738 32.3872 
0.0031 16.2918 32.3911 
0.0032 16.3104 32.3952 
0.0033 16.3296 32.3993 
0.0034 16.3492 32.4036 
0.0035 16.3694 32.408 
0.0036 16.3901 32.4125 
0.0037 16.4113 32.4172 
0.0038 16.4331 32.422 
0.0039 16.4553 32.4268 
0.004 16.4781 32.4318 
0.0041 16.5013 32.4369 
0.0042 16.525 32.4422 
0.0043 16.5492 32.4475 
0.0044 16.5739 32.4529 
0.0045 16.599 32.4585 
0.0046 16.6246 32.4642 
0.0047 16.6507 32.4699 
0.0048 16.6772 32.4758 
0.0049 16.7041 32.4818 
0.005 16.7315 32.4879 
0.0051 16.7594 32.4941 
0.0052 16.7876 32.5004 
0.0053 16.8162 32.5068 
0.0054 16.8453 32.5134 
0.0055 16.8748 32.52 
0.0056 16.9046 32.5267 
0.0057 16.9349 32.5335 
0.0058 16.9655 32.5404 
0.0059 16.9965 32.5474 
0.006 17.0278 32.5545 
0.0061 17.0596 32.5617 
0.0062 17.0916 32.569 
