Solucao analitica da equacao da onda
X          T=0          T=1          T=2          T=3          T=4          T=5
0            0            0            0            0            0            0 
0.01   0.00911891   0.00920108   0.00333885   0.00337053   0.00122017   0.00123291 
0.02    0.0182378    0.0183876   0.00667771   0.00673573   0.00244034   0.00246388 
0.03    0.0273566    0.0275452    0.0100166    0.0100903   0.00366053   0.00369095 
0.04    0.0364753    0.0366593    0.0133554    0.0134289   0.00488072   0.00491218 
0.05    0.0455936    0.0457156    0.0166941    0.0167464   0.00610089   0.00612567 
0.06    0.0547111       0.0547    0.0200326    0.0200375     0.007321   0.00732949 
0.07    0.0638274    0.0635985    0.0233707    0.0232971   0.00854099   0.00852178 
0.08    0.0729416    0.0723972    0.0267081    0.0265201   0.00976077   0.00970069 
0.09    0.0820528    0.0810827    0.0300445    0.0297016    0.0109802    0.0108644 
0.1    0.0911598    0.0896417    0.0333794    0.0328367    0.0121991    0.0120111 
0.11     0.100261    0.0980612    0.0367123    0.0359207    0.0134174    0.0131391 
0.12     0.109354     0.106329    0.0400424     0.038949    0.0146347    0.0142467 
0.13     0.118438     0.114432     0.043369     0.041917    0.0158508    0.0153322 
0.14     0.127509     0.122359    0.0466912    0.0448204    0.0170653    0.0163941 
0.15     0.136565     0.130098    0.0500078    0.0476551    0.0182778    0.0174308 
0.16     0.145601     0.137639    0.0533176    0.0504169    0.0194879    0.0184408 
0.17     0.154615      0.14497    0.0566191    0.0531021     0.020695    0.0194228 
0.18     0.163602     0.152083    0.0599109     0.055707    0.0218987    0.0203753 
0.19     0.172557     0.158967    0.0631911     0.058228    0.0230981    0.0212972 
0.2     0.181474     0.165613    0.0664578     0.060662    0.0242928    0.0221872 
0.21     0.190349     0.172013     0.069709    0.0630058    0.0254818    0.0230442 
0.22     0.199174      0.17816    0.0729423    0.0652566    0.0266643    0.0238671 
0.23     0.207944     0.184045    0.0761552    0.0674117    0.0278395     0.024655 
0.24      0.21665     0.189663    0.0793452    0.0694687    0.0290064     0.025407 
0.25     0.225286     0.195007    0.0825093    0.0714253    0.0301638    0.0261222 
0.26     0.233842     0.200072    0.0856446    0.0732796    0.0313109       0.0268 
0.27     0.242311     0.204853    0.0887479    0.0750297    0.0324462    0.0274396 
0.28     0.250682     0.209345    0.0918157    0.0766743    0.0335687    0.0280406 
0.29     0.258947     0.213546    0.0948446    0.0782118     0.034677    0.0286024 
0.3     0.267095     0.217452    0.0978308    0.0796413    0.0357698    0.0291247 
0.31     0.275115      0.22106      0.10077     0.080962    0.0368457    0.0296072 
0.32     0.282997      0.22437      0.10366    0.0821731    0.0379031    0.0300495 
0.33      0.29073      0.22738     0.106494    0.0832743    0.0389406    0.0304516 
0.34     0.298301      0.23009     0.109269    0.0842654    0.0399565    0.0308134 
0.35     0.305698     0.232499     0.111981    0.0851464    0.0409493     0.031135 
0.36     0.312909     0.234608     0.114625    0.0859176    0.0419173    0.0314164 
0.37     0.319922      0.23642     0.117196    0.0865795    0.0428588    0.0316577 
0.38     0.326724     0.237934      0.11969    0.0871328    0.0437721    0.0318593 
0.39     0.333301     0.239154     0.122102    0.0875782    0.0446554    0.0320215 
0.4     0.339641     0.240083     0.124427    0.0879169    0.0455069    0.0321446 
0.41     0.345729     0.240725      0.12666    0.0881501    0.0463249    0.0322291 
0.42     0.351554     0.241082     0.128796    0.0882793    0.0471074    0.0322755 
0.43       0.3571     0.241159     0.130831     0.088306    0.0478528    0.0322845 
0.44     0.362354     0.240961     0.132758     0.088232    0.0485592    0.0322566 
0.45     0.367304     0.240494     0.134574    0.0880591    0.0492247    0.0321926 
0.46     0.371936     0.239762     0.136274    0.0877896    0.0498477    0.0320933 
0.47     0.376236     0.238772     0.137852    0.0874254    0.0504262    0.0319593 
0.48     0.380191     0.237531     0.139304    0.0869691    0.0509586    0.0317916 
0.49      0.38379     0.236044     0.140625    0.0864229    0.0514431    0.0315911 
0.5     0.387018     0.234319      0.14181    0.0857894    0.0518781    0.0313586 
0.51     0.389865     0.232362     0.142856    0.0850712    0.0522618    0.0310952 
0.52     0.392318     0.230182     0.143757    0.0842711    0.0525928    0.0308019 
0.53     0.394366     0.227785      0.14451    0.0833919    0.0528694    0.0304796 
0.54     0.395998      0.22518      0.14511    0.0824362    0.0530903    0.0301294 
0.55     0.397203     0.222374     0.145554    0.0814072     0.053254    0.0297524 
0.56     0.397972     0.219375     0.145838    0.0803077    0.0533591    0.0293497 
0.57     0.398296     0.216192     0.145959    0.0791406    0.0534045    0.0289223 
0.58     0.398165     0.212832     0.145914     0.077909     0.053389    0.0284713 
0.59     0.397573     0.209305     0.145699    0.0766159    0.0533115    0.0279979 
0.6     0.396512     0.205617     0.145312    0.0752642     0.053171    0.0275031 
0.61     0.394975     0.201777     0.144751     0.073857    0.0529667     0.026988 
0.62     0.392957     0.197794     0.144013    0.0723971    0.0526979    0.0264537 
0.63     0.390453     0.193674     0.143098    0.0708877    0.0523638    0.0259013 
0.64      0.38746     0.189427     0.142002    0.0693315     0.051964    0.0253319 
0.65     0.383974      0.18506     0.140727    0.0677314     0.051498    0.0247465 
0.66     0.379993      0.18058     0.139269    0.0660903    0.0509657    0.0241461 
0.67     0.375516     0.175995      0.13763    0.0644108    0.0503667    0.0235317 
0.68     0.370544     0.171313     0.135809    0.0626957    0.0497011    0.0229044 
0.69     0.365075      0.16654     0.133807    0.0609475     0.048969     0.022265 
0.7     0.359114     0.161684     0.131623    0.0591688    0.0481706    0.0216146 
0.71     0.352662      0.15675      0.12926     0.057362    0.0473064    0.0209539 
0.72     0.345723     0.151746     0.126718    0.0555294    0.0463767    0.0202838 
0.73     0.338303     0.146677     0.123999    0.0536734    0.0453824    0.0196053 
0.74     0.330406      0.14155     0.121106     0.051796    0.0443241    0.0189189 
0.75     0.322041     0.136369     0.118041    0.0498992    0.0432028    0.0182256 
0.76     0.313214     0.131141     0.114806    0.0479851    0.0420196    0.0175259 
0.77     0.303936      0.12587     0.111406    0.0460554    0.0407756    0.0168206 
0.78     0.294215     0.120561     0.107844    0.0441118    0.0394723    0.0161103 
0.79     0.284064     0.115218     0.104124     0.042156    0.0381111    0.0153956 
0.8     0.273493     0.109845      0.10025    0.0401895    0.0366935    0.0146771 
0.81     0.262517     0.104446    0.0962273    0.0382136    0.0352214    0.0139551 
